time_s,position_m,velocity_mps,velocity_kmh,acceleration_mps2,motor_rpm,torque_left_nm,torque_right_nm,tractive_force_n,rolling_resistance_n,aero_drag_n,grade_force_n,net_force_n,battery_power_kw,mechanical_power_kw,power_limited
1.365,6.657651571824632,9.637122485166524,34.69364094659949,6.719844984893214,1767.3850747412748,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,122.87247371759719,0.0,1606.0429513894783,20.98837098016212,18.88953388214591,0.0
1.37,6.705921182312776,9.670721710090989,34.81459815632756,6.716253905655984,1773.5469522877916,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,123.7307416552953,0.0,1605.18468345178,21.0615456231581,18.95539106084229,0.0
1.375,6.754358744037051,9.70430297961927,34.93549072662937,6.712652257219197,1779.705536932378,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,124.59153563168735,0.0,1604.3238894753881,21.134681161689358,19.02121304552042,0.0
1.3800000000000001,6.802964167088363,9.737866240905365,35.05631846725932,6.70904006530665,1785.8608189834254,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,125.45484949878629,0.0,1603.4605756082892,21.207777480664344,19.08699973259791,0.0
1.385,6.851737361293706,9.771411441231898,35.17708118843483,6.705417355696017,1792.0127887729109,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,126.32067709572719,0.0,1602.5947480113482,21.2808344652716,19.152751018744443,0.0
1.3900000000000001,6.9006782362168115,9.804938528010378,35.29777870083736,6.7017841542184895,1798.1614366564515,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,127.18901224885646,0.0,1601.726412858219,21.35385200098041,19.218466800882368,0.0
1.395,6.949786701158791,9.838447448781471,35.4184108156133,6.698140486758387,1804.3067530133492,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,128.05984877182104,0.0,1600.8555763352545,21.426829973541317,19.284146976187184,0.0
1.4000000000000001,6.9990626651587835,9.871938151215263,35.53897734437495,6.694486379252793,1810.4487282466403,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,128.9331804656579,0.0,1599.9822446414175,21.499768268986724,19.34979144208805,0.0
1.405,7.0485060369946,9.905410583111527,35.6594780992015,6.690821857691179,1816.5873527831454,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,129.8090011188836,0.0,1599.1064239881919,21.57266677363148,19.415400096268332,0.0
1.41,7.098116725183378,9.938864692399983,35.77991289263994,6.687146948115028,1822.722617073517,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,130.68730450758372,0.0,1598.2281205994916,21.64552537407344,19.480972836666098,0.0
1.415,7.14789463798223,9.972300427140558,35.90028153770601,6.68346167661746,1828.8545115922868,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,131.5680843955025,0.0,1597.347340711573,21.718343957194044,19.54650956147464,0.0
1.42,7.1978396833888905,10.005717735523646,36.02058384788513,6.6797660693428575,1834.9830268379112,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,132.45133453413254,0.0,1596.464090572943,21.79112241015884,19.61201016914296,0.0
